CountryID,Name,Region,WorldRank,RegionRank,2014Score,SChangFrom2013,PropertyRights,PChangeFrom2013,FreedomFCorruption,FCChangeFrom2013,FiscalFreedom ,FFChangeFrom2013,GovSpending,GSChangeFrom2013,BusinessFreedom,BFChangeFrom2013,LaborFreedom,LFChangeFrom2013,MonetaryFreedom,MFChangeFrom2013,TradeFreedom,TFChangeFrom2013,InvestmentFreedom ,IFChangeFrom2013,FinancialFreedom,FFChangeFrom2013,TariffRate%,IncomeTaxRate%,CorporateTaxRate%,TaxBurden%ofGDP,GovtExp%ofGDP ,PopinM,GDPinB,GDPGRate%,5YGDPGRate%,GDPcapita,Unemp%,Inflation%,FDIInflowM,PublicDebt%ofGDP
123,Nigeria,Sub-Saharan Africa,129,26,54.3,-0.8,30,0,22.7,-1.3,85,2.4,74.5,-0.1,48,-7.7,66.4,-0.8,73.1,-0.2,63.8,-0.1,40,0,40,0,10.6,24,30,4.7,29.2,164.8,448.10 ,6.3,6.9,2720.00 ,23.9,12.2,"7,028.90",17.8
124,Norway,Europe,32,16,70.9,0.4,90,0,88.1,-1.9,50.6,-0.4,42.2,1.9,90.9,-1.7,44.6,-0.1,78.7,1.8,89.1,-0.2,75,5,60,0,0.5,47.8,28,43.2,43.9,5,277.10 ,3,0.6,55009.00 ,3.2,0.7,"12,774.60",34.1
125,Oman,Middle East / North Africa,48,6,67.4,-0.7,50,0,48.2,0.2,98.5,0,56,-13.1,68.3,0.2,75.5,-5.4,73.6,0.9,78.7,0,65,10,60,0,3.2,0,12,2.2,38.3,3.1,90.10 ,5,6.3,29166.00 ,15,2.9,"1,514",6.1
126,Pakistan,Asia-Pacific,126,26,55.2,0.1,30,0,22.7,-2.3,80.6,0.1,88.3,-0.7,69.4,-1.3,47.3,-0.6,68.5,1.5,64.8,-1.2,40,5,40,0,10.1,25,35,9.3,19.8,178.9,515.40 ,3.7,3,2881.00 ,7.7,11,846.7,62.1
127,Panama,South and Central America / Caribbean,71,13,63.4,0.9,30,0,34,1,84.3,-1.9,78.7,0.9,73,0.5,39.4,-0.7,75.1,-0.8,74.2,-0.6,75,10,70,0,7.9,25,25,17.8,26.6,3.7,57.10 ,10.7,8.6,15617.00 ,4.2,5.7,"3,019.80",38.8
128,PapuaNewGuinea,Asia-Pacific,132,28,53.9,0.3,20,0,20.2,-1.8,66.7,-0.7,75.4,3.1,57,-1.3,73.7,0.3,75.5,3.1,85.1,0.1,35,0,30,0,2.5,42,30,25.8,28.6,6.8,19.10 ,9.1,8.1,2797.00 ,1.9,4,28.8,14.1
129,Paraguay,South and Central America / Caribbean,78,15,62,0.9,30,0,20.5,-1.5,96.2,0.3,89,3.6,58,-1.1,28.9,3.3,80.9,1.1,81.1,-1.6,75,5,60,0,4.5,10,10,13.4,19.1,6.7,40.90 ,-1.2,3.6,6136.00 ,5.8,3.8,319.9,11.4
130,Peru,South and Central America / Caribbean,47,7,67.4,-0.8,40,0,34,0,79.1,-0.8,89.1,0,70.6,-1.7,61.4,-5.7,83.3,-1,87,2,70,0,60,0,1.5,30,30,17,19.1,30.5,326.70 ,6.3,6.5,10719.00 ,6.8,3.7,"12,239.70",19.8
131,Philippines,Asia-Pacific,89,16,60.1,1.9,30,0,26.1,0.1,79.2,-0.1,92.3,2.1,59.9,6.8,49.7,-1.3,78,1.4,75.5,0,60,10,50,0,4.8,32,30,12.3,16,95.8,424.40 ,6.6,4.7,4430.00 ,7,3.1,"2,797",41.9
132,Poland,Europe,50,23,67,1,60,0,54.8,-0.2,76.1,0.1,43.2,0.2,70.1,6.1,60.4,-2.5,77.8,0.1,87.8,1,70,5,70,0,1.1,32,19,31.7,43.5,38.9,800.90 ,2,3.4,20592.00 ,10.3,3.7,"3,355.70",55.2
133,Portugal,Europe,69,32,63.5,0.4,70,0,61.1,0.1,60.1,-1.5,26.8,-1.5,84.9,2.1,34.6,3.6,79.3,-0.1,87.8,1,70,0,60,0,1.1,48,26.5,31.3,49.4,10.5,246.50 ,-3.2,-1.2,23385.00 ,15.7,2.8,"8,915.50",123
134,Qatar,Middle East / North Africa,30,3,71.2,-0.1,70,0,72.4,0.4,99.9,0.1,72.1,-9.1,71.7,2.3,70,6.6,81.2,0.9,79.8,-2.7,45,0,50,0,5.1,0,0,2.9,30.5,1.8,187.90 ,6.6,13.1,102211.00 ,0.5,1.9,326.9,37.8
135,Romania,Europe,62,29,65.5,0.4,40,0,37.7,1.7,87,-0.9,59.2,-3,71,0.6,65.2,1.7,77.1,2.4,87.8,1,80,0,50,0,1.1,16,16,28,36.9,21.3,273.40 ,0.3,0.3,12808.00 ,7,3.3,"2,242.10",37
136,Russia,Europe,140,41,51.9,0.8,25,0,22.1,-1.9,85.6,-1.3,61.5,7.1,70,0.8,55.8,3.2,69.4,2.7,74.6,-2.8,25,0,30,0,5.2,13,20,29.5,35.8,141.9,2513.30 ,3.4,1.8,17709.00 ,6,5.1,"51,416",10.9
137,Rwanda,Sub-Saharan Africa,65,4,64.7,0.6,30,0,46.9,-3.1,80.3,-0.1,78.2,2.3,69.6,4,84.1,3.8,74.8,-0.7,77.7,-0.3,65,0,40,0,6.1,30,30,13.1,27,10.4,15.50 ,7.7,8.5,1486.00 ,N/A,6.3,159.8,28
138,SaintLucia,South and Central America / Caribbean,33,2,70.7,0.3,70,0,70.6,0.6,75.7,-1.2,63.6,0,83.1,-2.2,84.5,8.1,82.7,-2,71.9,0,65,0,40,0,9,30,30,25.1,34.8,0.2,2.20 ,-0.4,1.3,13104.00 ,20,4.3,112.8,78.4
139,SaintVincentGrenadines,South and Central America / Caribbean,52,8,67,0.3,70,0,61.1,3.1,73.7,-0.5,72.4,5.3,76.3,-1.3,78.7,2.1,79.8,-0.5,67.6,-5.7,50,0,40,0,11.2,32.5,33,22.1,30.3,0.1,1.30 ,0.5,-0.8,11776.00 ,15,2.6,125.5,70.2
140,Samoa,Asia-Pacific,84,14,61.1,4,60,0,38,-1,79.9,-0.7,42.2,7.9,73.7,1.3,80.3,-0.1,76.1,-2.4,75.8,9.8,55,25,30,0,7.1,27,27,23.4,43.9,0.2,1.10 ,1.2,0.5,6149.00 ,N/A,6.2,21.5,N/A
141,SaoTomePrincipe,Sub-Saharan Africa,157,38,48.8,0.8,20,0,32.5,2.5,86.9,0,27.9,-17.4,52.6,-0.9,44.7,6.1,68.3,2.3,75.3,15.3,50,0,30,0,7.4,20,25,16.8,49,0.2,0.40 ,4,5.3,2337.00 ,14.2,10.6,49.5,75.5
142,SaudiArabia,Middle East / North Africa,77,8,62.2,1.6,40,0,43.7,-0.3,99.7,0.1,63.1,10.9,67.3,-0.9,75.8,6.6,68.7,3,74,-3.3,40,0,50,0,5.5,2.5,2.5,3.7,35.1,29,906.80 ,6.8,6.6,31275.00 ,10.6,2.9,"12,182",3.6
143,Senegal,Sub-Saharan Africa,125,23,55.4,-0.1,40,0,29.5,0.5,65.1,-0.1,75.4,-0.2,47.5,-9.2,41.5,0.2,81.8,2.2,73.2,1,60,5,40,0,8.4,50,25,19,28.6,13.1,26.60 ,3.5,3.3,2027.00 ,48,1.1,337.7,45
144,Serbia,Europe,95,37,59.4,0.8,40,0,34,1,83.1,-1.1,38.6,-1.7,59.3,-0.9,70.1,-0.3,66.9,1.6,77,-0.9,75,10,50,0,6.5,15,15,35.2,45.2,7.6,78.70 ,-1.8,0.2,10405.00 ,23.1,7.3,650.4,63.7
145,Seychelles,Sub-Saharan Africa,117,19,56.2,1.3,50,0,48.5,0.5,76.8,-0.8,61.8,4.9,67.6,-1.6,68.5,5,75.1,-0.5,33.4,0,50,5,30,0,28.3,15,33,31.7,35.7,0.1,2.30 ,2.8,2.2,25229.00 ,3.7,7.1,114,82.5
146,SierraLeone,Sub-Saharan Africa,148,34,50.5,2.2,15,5,24.6,-0.4,80.7,0,85.7,9.8,55.3,3.8,28.7,2.4,70.2,1.7,70.2,0.1,55,0,20,0,9.9,30,30,11.5,21.9,6.2,8.30 ,19.8,7.8,1344.00 ,N/A,13.8,740.1,44.5
147,Singapore,Asia-Pacific,2,2,89.4,1.4,90,0,91.9,-0.1,91.2,0.1,91.2,-0.1,96.8,-0.3,96.5,5.1,81.5,-0.5,90,0,85,10,80,0,0,20,17,13.8,17.1,5.4,326.50 ,1.3,4.3,60410.00 ,2,4.6,"56,650.90",111
148,Slovakia,Europe,57,26,66.4,-2.3,50,0,41.8,1.8,80.2,-4.5,56,-2,67,-4,53.6,-18.6,78.1,-1,87.8,1,80,5,70,0,1.1,25,23,28.8,38.3,5.4,131.90 ,2,2,24249.00 ,14,3.7,"2,825.90",52.3
149,Slovenia,Europe,74,34,62.7,1,60,0,61,2,58.9,-6.8,22.6,0.3,85.4,4.7,51,10.6,80.3,-1.3,87.8,1,70,0,50,0,1.1,50,16,36.8,50.8,2.1,58.00 ,-2.3,-1.1,28195.00 ,9,2.6,144.8,52.6
150,SolomonIslands,Asia-Pacific,165,39,46.2,1.2,30,0,25,-2,61.4,-4.8,21.3,15.2,65.2,-1.4,65.2,-1.2,75.4,0,73,0.4,15,5,30,0,8.5,40,30,36.9,51.2,0.6,1.90 ,5.5,5.1,3345.00 ,N/A,5.1,69.3,18.2
151,SouthAfrica,Sub-Saharan Africa,75,6,62.5,0.7,50,0,41.6,0.6,68.7,-1.8,69.1,-0.1,74.5,-0.2,54.4,-1.2,75.3,-0.5,76.1,-0.2,55,10,60,0,4.5,40,28,27.3,32.1,51.2,582.40 ,2.5,2.2,11375.00 ,25.2,5.7,"4,572.50",42.3
152,Spain,Europe,49,22,67.2,-0.8,70,0,62.6,0.6,54,0.1,38.7,-4.3,77.3,-3,52.2,-2.1,79.9,0,87.8,1,80,0,70,0,1.1,52,30,31.6,45.2,46.2,1410.60 ,-1.4,-0.8,30557.00 ,25,2.4,"27,749.90",84.1
153,SriLanka,Asia-Pacific,90,17,60,-0.7,40,0,33.4,0.4,84.9,0.2,86.3,-0.2,74.4,-2.6,59.2,-1.6,68,-1.1,73.6,-2.6,40,0,40,0,5.7,24,28,12.4,21.4,20.7,126.30 ,6.4,6.4,6107.00 ,4.9,7.5,775.5,77.7
154,Sudan,Sub-Saharan Africa,N/A,N/A,N/A,N/A,N/A,N/A,9.8,-6.2,85.1,N/A,90.3,0.4,54.5,-2.9,49.1,-16.3,55.8,-8.7,55.6,N/A,15,0,N/A,N/A,14.7,15,35,6.7,17.9,33.5,85.30 ,-4.4,0.8,2545.00 ,10.8,35.6,"2,466.40",97.6
155,Suriname,South and Central America / Caribbean,130,23,54.2,2.2,40,0,32.9,2.9,69,-2.6,78.3,5.8,41.8,1.6,81.8,4.3,71.8,5.1,66.2,-0.1,30,5,30,0,11.9,38,36,19,26.9,0.5,6.80 ,4.5,4.1,12398.00 ,9,5,70.1,20.5
156,Swaziland,Sub-Saharan Africa,82,8,61.2,4,40,0,31.6,0.6,74.7,0.3,70.9,19.6,64.2,-1.8,71.7,1.4,72.3,-2.4,81.5,11.8,65,10,40,0,4.2,33,30,23.3,31.2,1.1,6.20 ,-1.5,1,5782.00 ,40,8.9,89.6,19
157,Sweden,Europe,20,10,73.1,0.2,90,0,92.3,-0.7,42.9,3.3,21.4,0.4,91.1,-2.1,52.9,-0.7,82.5,0.4,87.8,1,90,0,80,0,1.1,57,22,44.5,51.2,9.5,393.00 ,1.2,1,41191.00 ,7.9,0.9,"13,711.40",38
158,Switzerland,Europe,4,1,81.6,0.6,90,0,88.1,0.1,68.9,0.8,65.7,1.9,75.4,-0.4,87.4,-0.5,85.2,-1,90,0,85,5,80,0,0,41.5,24,28.5,33.8,8,363.40 ,1,1.2,45418.00 ,2.9,-0.7,"3,613",49.1
159,Syria,Middle East / North Africa,N/A,N/A,N/A,N/A,10,-10,23.3,-2.7,N/A,N/A,N/A,N/A,60.4,1.1,55.1,6.2,N/A,N/A,N/A,N/A,0,-10,20,0,N/A,22,28,10.4,N/A,N/A,107.60 ,N/A,N/A,N/A,18,40.2,N/A,52.2
160,Taiwan,Asia-Pacific,17,5,73.9,1.2,70,0,59.7,-1.3,80.3,-0.2,84.7,-0.2,93.9,-0.4,53.1,-0.2,81.7,-1.2,85.8,0.8,70,5,60,10,2.1,40,17,8.8,22.6,23.3,903.50 ,1.3,2.9,38749.00 ,4.2,1.9,"3,205",40.9
161,Tajikistan,Asia-Pacific,139,30,52,-1.4,20,0,19.4,-3.6,92.3,-0.5,78.1,0,58.4,-3.3,45.5,-10,67.7,3.1,73.2,-5,25,5,40,0,5.9,13,15,19.5,27,8,17.70 ,7.5,6.7,2229.00 ,2.5,5.8,289.9,32.5
162,Tanzania,Sub-Saharan Africa,106,15,57.8,-0.1,30,0,28.8,-1.2,79.7,-0.2,78.3,0.4,47,-1.6,61.1,-0.8,66,-5.8,76.8,3.3,60,5,50,0,6.6,30,30,15.2,26.9,47.1,73.90 ,6.9,6.8,1567.00 ,N/A,16,"1,706",41.4
163,Thailand,Asia-Pacific,72,12,63.3,-0.8,45,0,33.6,-0.4,79.7,0.8,83.6,-0.1,71.4,-1.8,61.6,-11.3,68.6,0.3,75,-0.2,45,5,70,0,5,37,20,16.2,23.4,64.4,651.90 ,6.4,2.8,10126.00 ,0.5,3,"8,607.50",44.3
164,TimorLeste,Asia-Pacific,170,40,43.2,-0.5,20,0,25.4,1.4,64.7,0,0,0,45.4,0.6,79.2,-2,68.3,-1,64.4,-8.6,45,5,20,0,10.3,10,10,276.7,139.7,1.1,11.00 ,10,11.5,9873.00 ,18.4,11.8,42,N/A
165,Togo,Sub-Saharan Africa,152,36,49.9,1.1,30,0,23.8,-0.2,69.7,1.2,82.4,0.8,43.3,3.4,42.8,-1.4,79.3,0.8,62.8,6.1,35,0,30,0,11.1,45,27,16.7,24.2,6.3,6.90 ,5,4,1096.00 ,N/A,2.6,166.3,46.7
166,Tonga,Asia-Pacific,104,22,58.2,2.2,20,0,28.6,-2.4,86.7,-0.4,74.8,10.1,74.6,-2,91.2,6.8,71.3,0.2,79.5,3.9,35,5,20,0,5.3,20,25,17.5,29,0.1,0.80 ,1.4,1.2,7548.00 ,13,4.5,6.6,N/A
167,TrinidadTobago,South and Central America / Caribbean,73,14,62.7,0.4,50,0,34,2,84.8,-0.1,62.5,2.1,59.4,4.3,76.4,-0.3,71.7,-2,78.6,8.7,60,0,50,-10,5.7,25,25,16.5,35.4,1.3,26.70 ,0.4,-0.6,20087.00 ,5.5,9.3,"2,527.10",39.7
168,Tunisia,Middle East / North Africa,109,11,57.3,0.3,40,0,39.2,1.2,74.3,-0.2,63.8,0.1,80.7,-2.1,72.6,2.5,75.9,-1.9,61.8,3.7,35,0,30,0,14.1,35,30,21.1,34.8,10.8,105.30 ,3.6,2.5,9775.00 ,18.9,5.6,"1,918.20",44.5
169,Turkey,Europe,64,30,64.9,2,50,0,44,2,77.5,0.5,63.5,-1.4,67.6,-0.6,59.7,16.6,71.8,-1.5,84.5,-0.7,70,5,60,0,2.7,35,20,25,34.9,74.9,1123.40 ,2.6,3.1,15001.00 ,9.2,8.9,"12,419",36.4
170,Turkmenistan,Asia-Pacific,171,41,42.2,-0.4,5,0,13.4,-2.6,95.2,1.2,93,1.3,30,0,30,0,65.9,-4.7,79.2,0,0,0,10,0,2.9,10,8,17.8,15.2,5.6,48.90 ,11,11.1,8718.00 ,60,4.9,"3,159",15.8
171,Uganda,Sub-Saharan Africa,91,10,59.9,-1.2,30,0,23.8,-0.2,79.1,-1.5,87.3,3,45.1,-3.3,87.4,-0.5,71,-6.2,75.4,1.8,60,5,40,-10,7.3,30,30,17,20.6,35.6,50.40 ,2.6,5.9,1415.00 ,N/A,14.1,"1,721.20",34.5
172,Ukraine,Europe,155,43,49.3,3,30,0,21.9,-1.1,79.1,0.9,37.5,8.1,59.8,12.2,49.8,-0.1,78.7,7.7,86.2,1.8,20,0,30,0,1.9,17,19,38,45.6,45.5,335.20 ,0.2,-0.9,7374.00 ,8,0.6,"7,833",37.4
173,UnitedArabEmirates,Middle East / North Africa,28,2,71.4,0.3,55,0,66.4,-1.6,99.6,-0.3,83.1,-2,74.4,0.4,82.9,5.3,84.6,0.7,82.5,-0.1,35,0,50,0,3.7,0,0,6.1,23.7,5.5,271.30 ,3.9,2.1,49012.00 ,2.4,0.7,"9,602",17.6
174,UnitedKingdom,Europe,14,5,74.9,0.1,90,0,76.4,-1.6,56.6,-0.4,29.5,1.8,92,-2.1,73.1,1.5,73.5,1.1,87.8,1,90,0,80,0,1.1,50,24,35.5,48.5,63.2,2336.30 ,0.2,-0.4,36941.00 ,8,2.8,"62,350.80",90.3
175,UnitedStates,North America,12,2,75.5,-0.5,80,-5,72,1,65.8,-3.5,48.1,0.3,89.2,-1.3,97.2,1.7,75.4,0.4,86.8,0.4,70,0,70,0,1.6,39.6,35,25.1,41.6,314.2,15684.80 ,2.2,0.6,49922.00 ,8.1,2.1,"167,620",106.5
176,Uruguay,South and Central America / Caribbean,38,5,69.3,-0.4,70,0,70.6,0.6,77.4,-6.8,68,-0.3,74.5,1.1,68.1,-2.6,72.1,-0.4,82.5,-0.4,80,5,30,0,3.8,30,25,27.2,32.6,3.4,53.80 ,3.8,5.6,15911.00 ,6.1,8.1,"2,710.10",53.7
177,Uzbekistan,Asia-Pacific,163,37,46.5,0.5,15,0,13.4,-2.6,90.3,0.1,70.4,2.6,75.7,4.5,60.8,-0.2,63.1,0.1,66.1,0,0,0,10,0,6.9,22,9,20.2,31.4,29.4,104.70 ,8,8.4,3555.00 ,0.2,12.1,"1,094",8.6
178,Vanuatu,Asia-Pacific,93,18,59.5,2.9,40,0,33.5,-1.5,97.3,0,81.7,1.2,54.8,-1.6,56.8,-0.9,82.7,1.3,48,0,60,30,40,0,18.5,0,0,16.4,24.7,0.3,1.20 ,2.7,3.1,4916.00 ,1.7,1.4,37.7,20
179,Venezuela,South and Central America / Caribbean,175,28,36.3,0.2,5,0,16.5,-2.5,75.3,-0.3,51.8,1.2,43.4,-2.2,33.7,-0.8,49.7,2.4,62.7,3.9,5,0,20,0,8.6,34,34,12.5,40.1,29.5,401.90 ,5.5,2,13616.00 ,7.8,21.1,"3,216",57.3
180,Vietnam,Asia-Pacific,147,33,50.8,-0.2,15,0,26.9,-2.1,77,1.4,71.4,-1,62,-1.8,68.3,2.8,63.6,-1.7,78.7,0.1,15,0,30,0,5.7,35,25,21.1,30.9,90.4,320.70 ,5,5.9,3548.00 ,4.5,9.1,"8,368",52.1
181,Yemen,Middle East / North Africa,123,12,55.5,-0.4,30,0,19.4,-1.6,91.7,0.2,74.9,2.1,59.2,-2.1,54.9,-0.4,62.1,-3.6,82.4,0.9,50,0,30,0,3.8,20,20,5.3,28.9,25.9,59.10 ,0.1,0.8,2283.00 ,35,11,348.8,46.7
182,Zambia,Sub-Saharan Africa,88,9,60.4,1.7,30,0,31.3,-0.7,71.8,-1.1,82.9,2.6,74.9,14.5,50.1,-8.3,68,2,84.6,2.3,60,5,50,0,2.7,35,35,19.3,23.9,13.9,24.00 ,7.3,6.8,1722.00 ,14,6.6,"1,066",26.9
183,Zimbabwe,Sub-Saharan Africa,176,46,35.5,6.9,10,0,19.3,-2.7,63.3,-8.5,64,-2.4,34.5,1.1,22.2,0.3,73,73,54.2,3.8,5,5,10,0,15.4,46.4,25,30,34.6,13,7.20 ,4.4,2.5,559.00 ,95,3.7,399.5,60.5
184,Somalia,Sub-Saharan Africa,N/A,N/A,N/A,N/A,N/A,N/A,5,-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,107.3,N/A
185,Kosovo,Europe,N/A,N/A,N/A,N/A,30,0,28.6,-0.4,92.7,-0.8,73,0,58.1,5.7,71.3,-6.4,72.7,N/A,N/A,N/A,65,0,N/A,N/A,N/A,10,10,23.1,30,1.8,13.40 ,2.1,4.1,3453.00 ,45.3,2.5,293.2,5.5
186,Brunei ,Asia-Pacific,40,10,69,N/A,40,N/A,53.3,N/A,90.2,N/A,66.1,N/A,68.2,N/A,96.5,N/A,74.2,N/A,81.8,N/A,70,N/A,50,N/A,4.1,0,20,24,33.6,0.4,21.70 ,1.3,0.5,54389.00 ,2.7,0.5,850,2.4
